 SPHEROID: Oblate
 Refractive index:  1.3300  0.0000 i     Lambda=10.000 mkm     a/b = 20.000
 ================================================================================================
    c    x_V 2*pi*a/w alpha  Qext(TM)    Qsca(TM)    Qabs(TM)    Qext(TE)    Qsca(TE)    Qabs(TE)
 ================================================================================================
  17.03  6.28 17.06     0  2.1007D-01  2.1007D-01 -8.4388D-10
  17.03  6.28 17.06    10  2.1014D-01  2.1014D-01  1.2341D-10  2.6640D-01  1.1285D+00 -8.6212D-01
  17.03  6.28 17.06    20  2.1463D-01  2.1463D-01  2.7086D-11  2.8698D-01  4.4720D-01 -1.6022D-01
  17.03  6.28 17.06    30  2.2252D-01  2.2252D-01  6.7335D-12  3.2135D-01  3.6431D-01 -4.2969D-02
  17.03  6.28 17.06    40  2.3670D-01  2.3670D-01 -4.9347D-12  3.7909D-01  3.9141D-01 -1.2321D-02
  17.03  6.28 17.06    50  2.7130D-01  2.7130D-01  4.0622D-12  5.0293D-01  4.9674D-01  6.1986D-03
  17.03  6.28 17.06    60  3.8660D-01  3.8660D-01  5.6111D-13  6.0989D-01  6.0569D-01  4.1980D-03
  17.03  6.28 17.06    70  1.0434D+00  1.0434D+00  5.0240D-12  1.1877D+00  1.1674D+00  2.0246D-02
  17.03  6.28 17.06    80  2.9801D+00  2.9801D+00 -5.8478D-12  4.8330D+00  4.8320D+00  1.0815D-03
  17.03  6.28 17.06    90  1.1755D+01  1.1755D+01 -2.7796D-11  2.1387D+01  2.1427D+01 -3.9846D-02
  17.03  6.28 17.06   100  3.0471D+00  3.0471D+00 -5.8482D-12  5.0478D+00  5.0483D+00 -4.6506D-04
  17.03  6.28 17.06   110  1.1088D+00  1.1088D+00  5.0242D-12  1.3815D+00  1.3604D+00  2.1070D-02
  17.03  6.28 17.06   120  4.1379D-01  4.1379D-01  5.6105D-13  6.9545D-01  6.8920D-01  6.2455D-03
  17.03  6.28 17.06   130  2.8427D-01  2.8427D-01  4.0616D-12  5.3998D-01  5.3455D-01  5.4298D-03
  17.03  6.28 17.06   140  2.4292D-01  2.4292D-01 -4.9367D-12  4.0041D-01  4.1564D-01 -1.5225D-02
  17.03  6.28 17.06   150  2.2437D-01  2.2437D-01  6.7336D-12  3.2672D-01  3.7236D-01 -4.5642D-02
  17.03  6.28 17.06   160  2.1487D-01  2.1487D-01  2.6820D-11  2.8763D-01  4.4855D-01 -1.6092D-01
  17.03  6.28 17.06   170  2.1015D-01  2.1015D-01  1.2296D-10  2.6642D-01  1.1286D+00 -8.6214D-01
 ================================================================================================
 SPHEROID: Oblate
 Refractive index:  1.2000  0.0300 i     Lambda=10.000 mkm     a/b = 20.000
 ================================================================================================
    c    x_V 2*pi*a/w alpha  Qext(TM)    Qsca(TM)    Qabs(TM)    Qext(TE)    Qsca(TE)    Qabs(TE)
 ================================================================================================
  17.03  6.28 17.06     0  1.4493D-01  7.9865D-02  6.5067D-02
  17.03  6.28 17.06    10  1.4610D-01  8.0310D-02  6.5789D-02  1.2808D-01  2.1114D-01 -8.3060D-02
  17.03  6.28 17.06    20  1.4929D-01  8.1235D-02  6.8050D-02  1.3754D-01  1.1924D-01  1.8302D-02
  17.03  6.28 17.06    30  1.5460D-01  8.3374D-02  7.1225D-02  1.5926D-01  1.1917D-01  4.0084D-02
  17.03  6.28 17.06    40  1.6438D-01  8.9456D-02  7.4921D-02  1.9463D-01  1.4019D-01  5.4444D-02
  17.03  6.28 17.06    50  1.8686D-01  1.0628D-01  8.0577D-02  2.5257D-01  1.8051D-01  7.2057D-02
  17.03  6.28 17.06    60  2.7203D-01  1.8259D-01  8.9442D-02  3.8770D-01  3.0820D-01  7.9493D-02
  17.03  6.28 17.06    70  5.7725D-01  4.3637D-01  1.4088D-01  8.8168D-01  7.0243D-01  1.7925D-01
  17.03  6.28 17.06    80  1.4233D+00  1.0641D+00  3.5919D-01  2.2236D+00  1.6927D+00  5.3093D-01
  17.03  6.28 17.06    90  5.3993D+00  3.9781D+00  1.4211D+00  8.4630D+00  6.3169D+00  2.1461D+00
  17.03  6.28 17.06   100  1.4608D+00  1.0877D+00  3.7306D-01  2.2931D+00  1.7367D+00  5.5638D-01
  17.03  6.28 17.06   110  6.1475D-01  4.6075D-01  1.5400D-01  9.4944D-01  7.4966D-01  1.9979D-01
  17.03  6.28 17.06   120  2.8746D-01  1.9191D-01  9.5557D-02  4.1008D-01  3.2613D-01  8.3948D-02
  17.03  6.28 17.06   130  1.9692D-01  1.1140D-01  8.5526D-02  2.6058D-01  1.9044D-01  7.0142D-02
  17.03  6.28 17.06   140  1.6933D-01  9.1668D-02  7.7662D-02  1.9521D-01  1.4309D-01  5.2118D-02
  17.03  6.28 17.06   150  1.5616D-01  8.4059D-02  7.2102D-02  1.5947D-01  1.1992D-01  3.9543D-02
  17.03  6.28 17.06   160  1.4945D-01  8.1308D-02  6.8146D-02  1.3758D-01  1.1936D-01  1.8222D-02
  17.03  6.28 17.06   170  1.4611D-01  8.0314D-02  6.5794D-02  1.2809D-01  2.1114D-01 -8.3059D-02
 ================================================================================================
 SPHEROID: Oblate
 Refractive index:  1.2000  0.0300 i     Lambda=10.000 mkm     a/b = 20.000
 ================================================================================================
    c    x_V 2*pi*a/w alpha  Qext(TM)    Qsca(TM)    Qabs(TM)    Qext(TE)    Qsca(TE)    Qabs(TE)
 ================================================================================================
  17.03  6.28 17.06     0  1.4493D-01  7.9865D-02  6.5067D-02
  17.03  6.28 17.06    11  1.4627D-01  8.0340D-02  6.5928D-02  1.2891D-01  1.7628D-01 -4.7371D-02
  17.03  6.28 17.06    22  1.4835D-01  8.0664D-02  6.7690D-02  1.4061D-01  1.1066D-01  2.9945D-02
  17.03  6.28 17.06    33  1.4038D-01  7.6559D-02  6.3824D-02  1.5744D-01  1.0684D-01  5.0602D-02
  17.03  6.28 17.06    44  1.5008D-01  8.4370D-02  6.5712D-02  1.9167D-01  1.3942D-01  5.2251D-02
  17.03  6.28 17.06    55  1.6550D-01  1.0097D-01  6.4529D-02  2.2125D-01  1.6483D-01  5.6421D-02
  17.03  6.28 17.06    66  3.4496D-01  2.5722D-01  8.7739D-02  5.0459D-01  4.1041D-01  9.4183D-02
  17.03  6.28 17.06    77  8.5770D-01  6.5481D-01  2.0289D-01  1.3020D+00  1.0150D+00  2.8697D-01
  17.03  6.28 17.06    88  3.8409D+00  2.8618D+00  9.7914D-01  5.9408D+00  4.4712D+00  1.4696D+00
  17.03  6.28 17.06    99  1.3735D+00  1.0357D+00  3.3774D-01  2.1164D+00  1.6180D+00  4.9840D-01
  17.03  6.28 17.06   110  5.1670D-01  3.9373D-01  1.2298D-01  7.7907D-01  6.2416D-01  1.5491D-01
  17.03  6.28 17.06   121  2.4430D-01  1.6087D-01  8.3430D-02  3.4053D-01  2.6860D-01  7.1934D-02
  17.03  6.28 17.06   132  1.8260D-01  1.0260D-01  8.0001D-02  2.4413D-01  1.7476D-01  6.9372D-02
  17.03  6.28 17.06   143  1.6326D-01  8.7924D-02  7.5337D-02  1.8102D-01  1.2902D-01  5.2005D-02
  17.03  6.28 17.06   154  1.5291D-01  8.2587D-02  7.0320D-02  1.4850D-01  1.1260D-01  3.5899D-02
  17.03  6.28 17.06   165  1.4743D-01  8.0656D-02  6.6776D-02  1.3082D-01  1.3528D-01 -4.4556D-03
  17.03  6.28 17.06   176  1.4514D-01  7.9979D-02  6.5162D-02  1.1461D-01  7.0695D-01 -5.9235D-01
  17.03  6.28 17.06   187  1.4554D-01  8.0148D-02  6.5394D-02  1.2267D-01  4.1178D-01 -2.8911D-01
 ================================================================================================
 SPHEROID: Oblate
 Refractive index:  1.2000  0.0300 i     Lambda=10.000 mkm     a/b = 20.000
 ================================================================================================
    c    x_V 2*pi*a/w alpha  Qext(TM)    Qsca(TM)    Qabs(TM)    Qext(TE)    Qsca(TE)    Qabs(TE)
 ================================================================================================
  17.03  6.28 17.06     0  1.4493D-01  7.9865D-02  6.5067D-02
  17.03  6.28 17.06    10  1.4610D-01  8.0310D-02  6.5789D-02  1.2808D-01  2.1114D-01 -8.3060D-02
  17.03  6.28 17.06    20  1.4929D-01  8.1235D-02  6.8050D-02  1.3754D-01  1.1924D-01  1.8302D-02
  17.03  6.28 17.06    30  1.5460D-01  8.3374D-02  7.1225D-02  1.5926D-01  1.1917D-01  4.0084D-02
  17.03  6.28 17.06    40  1.6438D-01  8.9456D-02  7.4921D-02  1.9463D-01  1.4019D-01  5.4444D-02
  17.03  6.28 17.06    50  1.8686D-01  1.0628D-01  8.0577D-02  2.5257D-01  1.8051D-01  7.2057D-02
  17.03  6.28 17.06    60  2.7203D-01  1.8259D-01  8.9442D-02  3.8770D-01  3.0820D-01  7.9493D-02
  17.03  6.28 17.06    70  5.7725D-01  4.3637D-01  1.4088D-01  8.8168D-01  7.0243D-01  1.7925D-01
  17.03  6.28 17.06    80  1.4233D+00  1.0641D+00  3.5919D-01  2.2236D+00  1.6927D+00  5.3093D-01
  17.03  6.28 17.06    90  5.3993D+00  3.9781D+00  1.4211D+00  8.4630D+00  6.3169D+00  2.1461D+00
  17.03  6.28 17.06   100  1.4608D+00  1.0877D+00  3.7306D-01  2.2931D+00  1.7367D+00  5.5638D-01
  17.03  6.28 17.06   110  6.1475D-01  4.6075D-01  1.5400D-01  9.4944D-01  7.4966D-01  1.9979D-01
  17.03  6.28 17.06   120  2.8746D-01  1.9191D-01  9.5557D-02  4.1008D-01  3.2613D-01  8.3948D-02
  17.03  6.28 17.06   130  1.9692D-01  1.1140D-01  8.5526D-02  2.6058D-01  1.9044D-01  7.0142D-02
  17.03  6.28 17.06   140  1.6933D-01  9.1668D-02  7.7662D-02  1.9521D-01  1.4309D-01  5.2118D-02
  17.03  6.28 17.06   150  1.5616D-01  8.4059D-02  7.2102D-02  1.5947D-01  1.1992D-01  3.9543D-02
  17.03  6.28 17.06   160  1.4945D-01  8.1308D-02  6.8146D-02  1.3758D-01  1.1936D-01  1.8222D-02
  17.03  6.28 17.06   170  1.4611D-01  8.0314D-02  6.5794D-02  1.2809D-01  2.1114D-01 -8.3059D-02
 ================================================================================================
 SPHEROID: Oblate
 Refractive index:  1.2000  0.0300 i     Lambda=10.000 mkm     a/b = 20.000
 ================================================================================================
    c    x_V 2*pi*a/w alpha  Qext(TM)    Qsca(TM)    Qabs(TM)    Qext(TE)    Qsca(TE)    Qabs(TE)
 ================================================================================================
  17.03  6.28 17.06     0  1.4493D-01  7.9865D-02  6.5067D-02
  17.03  6.28 17.06    10  1.4610D-01  8.0310D-02  6.5789D-02  1.2808D-01  2.1114D-01 -8.3060D-02
